CODGEO,genre,cat_poste,salaire_moyen,DEP,IDF,ent_total,pop_totale,densite_commune
01004,1,4,19.1,1,0,996,13460,2
01004,1,3,13.2,1,0,996,13460,2
01004,1,2,10.1,1,0,996,13460,2
01004,1,1,9.6,1,0,996,13460,2
01004,2,4,26.4,1,0,996,13460,2
01004,2,3,16.7,1,0,996,13460,2
01004,2,2,11.0,1,0,996,13460,2
01004,2,1,11.6,1,0,996,13460,2
01007,1,4,19.0,1,0,124,2563,1
01007,1,3,13.3,1,0,124,2563,1
01007,1,2,10.6,1,0,124,2563,1
01007,1,1,10.0,1,0,124,2563,1
01007,2,4,23.3,1,0,124,2563,1
01007,2,3,15.8,1,0,124,2563,1
01007,2,2,11.3,1,0,124,2563,1
01007,2,1,11.7,1,0,124,2563,1
01014,1,4,19.5,1,0,314,3281,2
01014,1,3,11.7,1,0,314,3281,2
01014,1,2,10.8,1,0,314,3281,2
01014,1,1,9.5,1,0,314,3281,2
01014,2,4,30.2,1,0,314,3281,2
01014,2,3,17.2,1,0,314,3281,2
01014,2,2,12.4,1,0,314,3281,2
01014,2,1,11.8,1,0,314,3281,2
01024,1,4,19.0,1,0,116,3329,1
01024,1,3,13.0,1,0,116,3329,1
01024,1,2,10.3,1,0,116,3329,1
01024,1,1,9.9,1,0,116,3329,1
01024,2,4,23.0,1,0,116,3329,1
01024,2,3,14.7,1,0,116,3329,1
01024,2,2,13.2,1,0,116,3329,1
01024,2,1,11.6,1,0,116,3329,1
01025,1,4,19.4,1,0,101,3142,1
01025,1,3,13.6,1,0,101,3142,1
01025,1,2,10.2,1,0,101,3142,1
01025,1,1,9.8,1,0,101,3142,1
01025,2,4,24.1,1,0,101,3142,1
01025,2,3,14.4,1,0,101,3142,1
01025,2,2,11.7,1,0,101,3142,1
01025,2,1,11.4,1,0,101,3142,1
01027,1,4,20.3,1,0,109,1714,1
01027,1,3,14.0,1,0,109,1714,1
01027,1,2,10.9,1,0,109,1714,1
01027,1,1,10.5,1,0,109,1714,1
01027,2,4,23.1,1,0,109,1714,1
01027,2,3,15.9,1,0,109,1714,1
01027,2,2,12.1,1,0,109,1714,1
01027,2,1,11.7,1,0,109,1714,1
01031,1,4,20.7,1,0,252,3532,2
01031,1,3,11.8,1,0,252,3532,2
01031,1,2,10.4,1,0,252,3532,2
01031,1,1,9.3,1,0,252,3532,2
01031,2,4,25.2,1,0,252,3532,2
01031,2,3,13.8,1,0,252,3532,2
01031,2,2,10.8,1,0,252,3532,2
01031,2,1,10.8,1,0,252,3532,2
01032,1,4,20.5,1,0,177,3187,1
01032,1,3,13.9,1,0,177,3187,1
01032,1,2,10.7,1,0,177,3187,1
01032,1,1,10.3,1,0,177,3187,1
01032,2,4,24.4,1,0,177,3187,1
01032,2,3,16.3,1,0,177,3187,1
01032,2,2,11.8,1,0,177,3187,1
01032,2,1,11.6,1,0,177,3187,1
01033,1,4,20.8,1,0,655,11401,2
01033,1,3,12.3,1,0,655,11401,2
01033,1,2,9.8,1,0,655,11401,2
01033,1,1,9.0,1,0,655,11401,2
01033,2,4,21.3,1,0,655,11401,2
01033,2,3,14.2,1,0,655,11401,2
01033,2,2,10.5,1,0,655,11401,2
01033,2,1,11.0,1,0,655,11401,2
01034,1,4,21.5,1,0,708,8442,2
01034,1,3,13.0,1,0,708,8442,2
01034,1,2,9.9,1,0,708,8442,2
01034,1,1,9.5,1,0,708,8442,2
01034,2,4,24.0,1,0,708,8442,2
01034,2,3,14.9,1,0,708,8442,2
01034,2,2,11.6,1,0,708,8442,2
01034,2,1,10.9,1,0,708,8442,2
01043,1,4,22.5,1,0,480,4455,2
01043,1,3,14.6,1,0,480,4455,2
01043,1,2,11.5,1,0,480,4455,2
01043,1,1,9.9,1,0,480,4455,2
01043,2,4,30.4,1,0,480,4455,2
01043,2,3,17.0,1,0,480,4455,2
01043,2,2,12.6,1,0,480,4455,2
01043,2,1,12.4,1,0,480,4455,2
01049,1,4,23.2,1,0,195,2722,2
01049,1,3,14.7,1,0,195,2722,2
01049,1,2,10.9,1,0,195,2722,2
01049,1,1,10.2,1,0,195,2722,2
01049,2,4,26.5,1,0,195,2722,2
01049,2,3,17.0,1,0,195,2722,2
01049,2,2,12.6,1,0,195,2722,2
01049,2,1,12.0,1,0,195,2722,2
01053,1,4,20.1,1,0,3103,38488,2
01053,1,3,13.1,1,0,3103,38488,2
01053,1,2,10.0,1,0,3103,38488,2
01053,1,1,8.6,1,0,3103,38488,2
01053,2,4,24.2,1,0,3103,38488,2
01053,2,3,14.3,1,0,3103,38488,2
01053,2,2,10.7,1,0,3103,38488,2
01053,2,1,10.7,1,0,3103,38488,2
01071,1,4,19.5,1,0,181,4735,2
01071,1,3,12.2,1,0,181,4735,2
01071,1,2,10.8,1,0,181,4735,2
01071,1,1,13.0,1,0,181,4735,2
01071,2,4,29.1,1,0,181,4735,2
01071,2,3,14.7,1,0,181,4735,2
01071,2,2,10.6,1,0,181,4735,2
01071,2,1,11.8,1,0,181,4735,2
01072,1,4,21.1,1,0,188,2886,1
01072,1,3,13.4,1,0,188,2886,1
01072,1,2,10.4,1,0,188,2886,1
01072,1,1,9.1,1,0,188,2886,1
01072,2,4,26.9,1,0,188,2886,1
01072,2,3,15.1,1,0,188,2886,1
01072,2,2,11.4,1,0,188,2886,1
01072,2,1,11.2,1,0,188,2886,1
01074,1,4,20.6,1,0,155,2380,1
01074,1,3,12.4,1,0,155,2380,1
01074,1,2,10.1,1,0,155,2380,1
01074,1,1,10.1,1,0,155,2380,1
01074,2,4,29.1,1,0,155,2380,1
01074,2,3,15.6,1,0,155,2380,1
01074,2,2,11.5,1,0,155,2380,1
01074,2,1,11.3,1,0,155,2380,1
01093,1,4,19.8,1,0,388,4611,1
01093,1,3,12.8,1,0,388,4611,1
01093,1,2,10.1,1,0,388,4611,1
01093,1,1,10.9,1,0,388,4611,1
01093,2,4,24.7,1,0,388,4611,1
01093,2,3,14.8,1,0,388,4611,1
01093,2,2,10.9,1,0,388,4611,1
01093,2,1,11.5,1,0,388,4611,1
01109,1,4,20.0,1,0,75,2166,1
01109,1,3,12.8,1,0,75,2166,1
01109,1,2,10.0,1,0,75,2166,1
01109,1,1,9.4,1,0,75,2166,1
01109,2,4,23.1,1,0,75,2166,1
01109,2,3,16.0,1,0,75,2166,1
01109,2,2,9.6,1,0,75,2166,1
01109,2,1,13.7,1,0,75,2166,1
01138,1,4,18.5,1,0,176,2798,1
01138,1,3,12.1,1,0,176,2798,1
01138,1,2,9.8,1,0,176,2798,1
01138,1,1,9.7,1,0,176,2798,1
01138,2,4,22.3,1,0,176,2798,1
01138,2,3,14.5,1,0,176,2798,1
01138,2,2,10.7,1,0,176,2798,1
01138,2,1,11.8,1,0,176,2798,1
01142,1,4,20.9,1,0,272,4354,2
01142,1,3,14.4,1,0,272,4354,2
01142,1,2,10.6,1,0,272,4354,2
01142,1,1,10.5,1,0,272,4354,2
01142,2,4,23.7,1,0,272,4354,2
01142,2,3,15.4,1,0,272,4354,2
01142,2,2,12.3,1,0,272,4354,2
01142,2,1,12.0,1,0,272,4354,2
01143,1,4,29.5,1,0,534,8924,2
01143,1,3,12.9,1,0,534,8924,2
01143,1,2,10.7,1,0,534,8924,2
01143,1,1,10.3,1,0,534,8924,2
01143,2,4,41.2,1,0,534,8924,2
01143,2,3,15.4,1,0,534,8924,2
01143,2,2,10.9,1,0,534,8924,2
01143,2,1,15.6,1,0,534,8924,2
01157,1,4,20.3,1,0,167,2089,1
01157,1,3,14.9,1,0,167,2089,1
01157,1,2,10.9,1,0,167,2089,1
01157,1,1,10.1,1,0,167,2089,1
01157,2,4,27.1,1,0,167,2089,1
01157,2,3,15.8,1,0,167,2089,1
01157,2,2,12.0,1,0,167,2089,1
01157,2,1,12.3,1,0,167,2089,1
01159,1,4,20.4,1,0,220,3208,1
01159,1,3,13.1,1,0,220,3208,1
01159,1,2,10.2,1,0,220,3208,1
01159,1,1,9.3,1,0,220,3208,1
01159,2,4,23.9,1,0,220,3208,1
01159,2,3,14.9,1,0,220,3208,1
01159,2,2,11.3,1,0,220,3208,1
01159,2,1,10.9,1,0,220,3208,1
01160,1,4,24.4,1,0,665,9210,2
01160,1,3,13.4,1,0,665,9210,2
01160,1,2,10.6,1,0,665,9210,2
01160,1,1,9.2,1,0,665,9210,2
01160,2,4,27.9,1,0,665,9210,2
01160,2,3,15.9,1,0,665,9210,2
01160,2,2,10.5,1,0,665,9210,2
01160,2,1,10.8,1,0,665,9210,2
01173,1,4,19.7,1,0,494,10552,2
01173,1,3,12.9,1,0,494,10552,2
01173,1,2,10.2,1,0,494,10552,2
01173,1,1,10.0,1,0,494,10552,2
01173,2,4,26.1,1,0,494,10552,2
01173,2,3,14.5,1,0,494,10552,2
01173,2,2,10.7,1,0,494,10552,2
01173,2,1,11.8,1,0,494,10552,2
01185,1,4,26.1,1,0,238,3108,1
01185,1,3,12.2,1,0,238,3108,1
01185,1,2,9.8,1,0,238,3108,1
01185,1,1,9.2,1,0,238,3108,1
01185,2,4,28.3,1,0,238,3108,1
01185,2,3,13.2,1,0,238,3108,1
01185,2,2,10.5,1,0,238,3108,1
01185,2,1,10.8,1,0,238,3108,1
01192,1,4,17.8,1,0,156,2232,1
01192,1,3,12.8,1,0,156,2232,1
01192,1,2,10.2,1,0,156,2232,1
01192,1,1,9.2,1,0,156,2232,1
01192,2,4,26.6,1,0,156,2232,1
01192,2,3,14.9,1,0,156,2232,1
01192,2,2,11.6,1,0,156,2232,1
01192,2,1,11.5,1,0,156,2232,1
01194,1,4,19.6,1,0,330,6104,2
01194,1,3,13.7,1,0,330,6104,2
01194,1,2,10.5,1,0,330,6104,2
01194,1,1,9.5,1,0,330,6104,2
01194,2,4,26.2,1,0,330,6104,2
01194,2,3,16.0,1,0,330,6104,2
01194,2,2,11.2,1,0,330,6104,2
01194,2,1,11.4,1,0,330,6104,2
01199,1,4,19.7,1,0,110,2137,1
01199,1,3,12.1,1,0,110,2137,1
01199,1,2,10.4,1,0,110,2137,1
01199,1,1,9.5,1,0,110,2137,1
01199,2,4,22.7,1,0,110,2137,1
01199,2,3,14.2,1,0,110,2137,1
01199,2,2,12.4,1,0,110,2137,1
01199,2,1,11.4,1,0,110,2137,1
01202,1,4,20.4,1,0,394,6816,2
01202,1,3,13.3,1,0,394,6816,2
01202,1,2,10.3,1,0,394,6816,2
01202,1,1,10.1,1,0,394,6816,2
01202,2,4,25.7,1,0,394,6816,2
01202,2,3,16.8,1,0,394,6816,2
01202,2,2,11.7,1,0,394,6816,2
01202,2,1,11.9,1,0,394,6816,2
01224,1,4,18.8,1,0,170,3125,2
01224,1,3,13.4,1,0,170,3125,2
01224,1,2,10.5,1,0,170,3125,2
01224,1,1,10.2,1,0,170,3125,2
01224,2,4,25.0,1,0,170,3125,2
01224,2,3,15.7,1,0,170,3125,2
01224,2,2,13.1,1,0,170,3125,2
01224,2,1,11.6,1,0,170,3125,2
01232,1,4,19.3,1,0,130,2069,1
01232,1,3,13.2,1,0,130,2069,1
01232,1,2,10.1,1,0,130,2069,1
01232,1,1,7.9,1,0,130,2069,1
01232,2,4,24.6,1,0,130,2069,1
01232,2,3,14.7,1,0,130,2069,1
01232,2,2,11.7,1,0,130,2069,1
01232,2,1,11.1,1,0,130,2069,1
01238,1,4,20.4,1,0,138,2433,2
01238,1,3,15.5,1,0,138,2433,2
01238,1,2,11.3,1,0,138,2433,2
01238,1,1,10.7,1,0,138,2433,2
01238,2,4,26.7,1,0,138,2433,2
01238,2,3,18.8,1,0,138,2433,2
01238,2,2,13.1,1,0,138,2433,2
01238,2,1,12.3,1,0,138,2433,2
01244,1,4,23.0,1,0,516,7264,2
01244,1,3,13.6,1,0,516,7264,2
01244,1,2,10.6,1,0,516,7264,2
01244,1,1,9.9,1,0,516,7264,2
01244,2,4,26.4,1,0,516,7264,2
01244,2,3,17.9,1,0,516,7264,2
01244,2,2,12.8,1,0,516,7264,2
01244,2,1,11.6,1,0,516,7264,2
01246,1,4,18.2,1,0,133,2150,1
01246,1,3,12.2,1,0,133,2150,1
01246,1,2,10.2,1,0,133,2150,1
01246,1,1,9.5,1,0,133,2150,1
01246,2,4,25.3,1,0,133,2150,1
01246,2,3,14.4,1,0,133,2150,1
01246,2,2,11.7,1,0,133,2150,1
01246,2,1,11.0,1,0,133,2150,1
01248,1,4,20.3,1,0,138,2027,1
01248,1,3,14.4,1,0,138,2027,1
01248,1,2,11.5,1,0,138,2027,1
01248,1,1,10.4,1,0,138,2027,1
01248,2,4,27.7,1,0,138,2027,1
01248,2,3,16.1,1,0,138,2027,1
01248,2,2,13.7,1,0,138,2027,1
01248,2,1,11.5,1,0,138,2027,1
01249,1,4,21.9,1,0,690,8912,2
01249,1,3,13.9,1,0,690,8912,2
01249,1,2,10.7,1,0,690,8912,2
01249,1,1,10.6,1,0,690,8912,2
01249,2,4,25.7,1,0,690,8912,2
01249,2,3,15.5,1,0,690,8912,2
01249,2,2,11.7,1,0,690,8912,2
01249,2,1,11.7,1,0,690,8912,2
01262,1,4,20.7,1,0,395,6811,2
01262,1,3,13.4,1,0,395,6811,2
01262,1,2,10.7,1,0,395,6811,2
01262,1,1,10.0,1,0,395,6811,2
01262,2,4,26.1,1,0,395,6811,2
01262,2,3,15.3,1,0,395,6811,2
01262,2,2,12.6,1,0,395,6811,2
01262,2,1,11.6,1,0,395,6811,2
01263,1,4,20.1,1,0,213,3740,2
01263,1,3,13.8,1,0,213,3740,2
01263,1,2,10.8,1,0,213,3740,2
01263,1,1,10.0,1,0,213,3740,2
01263,2,4,26.7,1,0,213,3740,2
01263,2,3,15.6,1,0,213,3740,2
01263,2,2,13.4,1,0,213,3740,2
01263,2,1,12.0,1,0,213,3740,2
01265,1,4,17.4,1,0,257,3405,2
01265,1,3,12.4,1,0,257,3405,2
01265,1,2,10.6,1,0,257,3405,2
01265,1,1,9.5,1,0,257,3405,2
01265,2,4,23.2,1,0,257,3405,2
01265,2,3,15.2,1,0,257,3405,2
01265,2,2,11.7,1,0,257,3405,2
01265,2,1,11.5,1,0,257,3405,2
01266,1,4,19.8,1,0,185,2296,1
01266,1,3,13.2,1,0,185,2296,1
01266,1,2,9.9,1,0,185,2296,1
01266,1,1,9.4,1,0,185,2296,1
01266,2,4,21.4,1,0,185,2296,1
01266,2,3,15.1,1,0,185,2296,1
01266,2,2,10.8,1,0,185,2296,1
01266,2,1,11.4,1,0,185,2296,1
01269,1,4,25.2,1,0,231,3301,1
01269,1,3,12.3,1,0,231,3301,1
01269,1,2,9.9,1,0,231,3301,1
01269,1,1,9.4,1,0,231,3301,1
01269,2,4,29.4,1,0,231,3301,1
01269,2,3,13.9,1,0,231,3301,1
01269,2,2,10.7,1,0,231,3301,1
01269,2,1,10.6,1,0,231,3301,1
01275,1,4,24.8,1,0,240,2400,2
01275,1,3,13.9,1,0,240,2400,2
01275,1,2,11.2,1,0,240,2400,2
01275,1,1,13.7,1,0,240,2400,2
01275,2,4,31.9,1,0,240,2400,2
01275,2,3,16.6,1,0,240,2400,2
01275,2,2,12.8,1,0,240,2400,2
01275,2,1,12.6,1,0,240,2400,2
01281,1,4,24.9,1,0,147,4206,2
01281,1,3,13.4,1,0,147,4206,2
01281,1,2,11.0,1,0,147,4206,2
01281,1,1,9.7,1,0,147,4206,2
01281,2,4,26.0,1,0,147,4206,2
01281,2,3,17.0,1,0,147,4206,2
01281,2,2,10.8,1,0,147,4206,2
01281,2,1,12.6,1,0,147,4206,2
01283,1,4,20.1,1,0,1516,22115,2
01283,1,3,12.5,1,0,1516,22115,2
