CODGEO,LIBGEO,DEP,nom_DEP,REG,nom_REG,IDF,ENT_TOTAL,genre,cat_poste,salaire_moyen,NB,densite_commune
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,1,4,19.1,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,1,3,13.2,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,1,2,10.1,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,1,1,9.6,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,2,4,26.4,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,2,3,16.7,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,2,2,11.0,13460,2
01004,Ambérieu-en-Bugey,01,Ain,84,Avergne-Rhône-Alpes,0,996,2,1,11.6,13460,2
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,1,4,19.0,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,1,3,13.3,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,1,2,10.6,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,1,1,10.0,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,2,4,23.3,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,2,3,15.8,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,2,2,11.3,2563,1
01007,Ambronay,01,Ain,84,Avergne-Rhône-Alpes,0,124,2,1,11.7,2563,1
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,1,4,19.5,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,1,3,11.7,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,1,2,10.8,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,1,1,9.5,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,2,4,30.2,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,2,3,17.2,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,2,2,12.4,3281,2
01014,Arbent,01,Ain,84,Avergne-Rhône-Alpes,0,314,2,1,11.8,3281,2
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,1,4,19.0,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,1,3,13.0,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,1,2,10.3,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,1,1,9.9,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,2,4,23.0,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,2,3,14.7,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,2,2,13.2,3329,1
01024,Attignat,01,Ain,84,Avergne-Rhône-Alpes,0,116,2,1,11.6,3329,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,1,4,19.4,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,1,3,13.6,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,1,2,10.2,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,1,1,9.8,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,2,4,24.1,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,2,3,14.4,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,2,2,11.7,3142,1
01025,Bâgé-la-Ville,01,Ain,84,Avergne-Rhône-Alpes,0,101,2,1,11.4,3142,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,1,4,20.3,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,1,3,14.0,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,1,2,10.9,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,1,1,10.5,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,2,4,23.1,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,2,3,15.9,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,2,2,12.1,1714,1
01027,Balan,01,Ain,84,Avergne-Rhône-Alpes,0,109,2,1,11.7,1714,1
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,1,4,20.7,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,1,3,11.8,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,1,2,10.4,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,1,1,9.3,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,2,4,25.2,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,2,3,13.8,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,2,2,10.8,3532,2
01031,Bellignat,01,Ain,84,Avergne-Rhône-Alpes,0,252,2,1,10.8,3532,2
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,1,4,20.5,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,1,3,13.9,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,1,2,10.7,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,1,1,10.3,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,2,4,24.4,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,2,3,16.3,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,2,2,11.8,3187,1
01032,Béligneux,01,Ain,84,Avergne-Rhône-Alpes,0,177,2,1,11.6,3187,1
01033,Bellegarde-sur-Valserine,01,Ain,84,Avergne-Rhône-Alpes,0,655,1,4,20.8,11401,2
